!# time[s]	real	imag	abs
0.342457	-0.00181579	-0.0594177	0.0594455
0.342688	0.204285	-0.0547028	0.211482
0.342919	0.169754	-0.0556641	0.178647
0.34315	0.169296	0.085846	0.189818
0.343381	0.192719	0.035141	0.195896
0.343612	0.123535	-0.0201874	0.125174
0.343843	0.313492	0.0444336	0.316625
0.344074	0.0145874	0.0109558	0.0182434
0.344305	0.148056	0.0584564	0.159178
0.344536	0.039566	-0.0394135	0.0558471
0.344767	0.100494	0.0989838	0.141056
0.344998	0.121063	-0.0637512	0.136823
0.345229	0.0585175	0.0911713	0.108335
0.34546	0.165283	-0.0137939	0.165858
0.345691	0.0847778	-0.0231171	0.0878731
0.345922	0.136826	-0.048111	0.145038
0.346153	0.0837555	0.0482025	0.0966358
0.346384	0.0883484	-0.000457766	0.0883496
0.346615	0.011322	0.0243835	0.0268839
0.346846	0.402191	0.105103	0.415697
0.347077	0.182678	0.0573731	0.191476
0.347308	0.127396	0.104324	0.164661
0.347539	0.117966	0.023819	0.120346
0.34777	0.206085	-0.038147	0.209586
0.348001	0.162537	-0.162994	0.230185
0.348232	0.0729218	0.106995	0.129481
0.348463	0.156281	0.0203552	0.157601
0.348694	0.205368	0.0140076	0.205845
0.348925	0.131989	-0.0335083	0.136176
0.349156	0.215057	0.092926	0.234275
0.349387	0.197281	0.0306397	0.199646
0.349618	0.0892334	-0.0879975	0.125324
0.349849	0.237839	0.164688	0.289291
0.35008	0.160599	-0.0494385	0.168036
0.350311	0.151123	-0.00657653	0.151266
0.350542	0.199112	0.115173	0.230023
0.350773	0.139542	0.0651245	0.15399
0.351004	0.222137	0.072464	0.233658
0.351235	0.0933685	-0.0271454	0.0972345
0.351466	0.234497	0.0823975	0.248552
0.351697	0.224808	0.0562592	0.23174
0.351928	0.185547	-0.146042	0.236127
0.352159	0.136246	-0.0978089	0.167718
0.35239	0.0641327	0.0816345	0.103813
0.352621	0.294891	-0.12558	0.320517
0.352852	-0.0465088	-0.124329	0.132743
0.353083	0.165649	0.00247192	0.165668
0.353314	-0.10704	-0.0470276	0.116916
0.353545	0.175003	0.0607147	0.185236
0.353776	0.15387	-0.12616	0.198978
0.354007	0.0683289	0.0423737	0.0804012
0.354238	0.106857	-0.0179444	0.108354
0.354469	0.255554	-0.00976562	0.255741
0.3547	0.151337	0.00650025	0.151476
0.354931	0.17453	-0.0446015	0.180139
0.355162	0.074707	-0.156937	0.173811
0.355393	-0.00590515	-0.117661	0.117809
0.355624	0.262848	0.057312	0.269024
0.355855	0.098053	-0.0209656	0.100269
0.356086	-0.00842285	0.0206909	0.0223396
0.356317	0.166977	-0.200745	0.261112
0.356548	0.158279	0.108688	0.192004
0.356779	0.114288	0.0522003	0.125645
0.35701	0.137848	0.12851	0.188459
0.357241	0.172913	-0.0271301	0.175028
0.357472	0.11171	0.0232544	0.114104
0.357703	0.116806	0.0193481	0.118398
0.357934	0.125137	-0.0172272	0.126318
0.358165	0.222733	-0.0553131	0.229498
0.358396	0.0618134	0.0728607	0.0955488
0.358627	0.110947	-0.0560913	0.12432
0.358858	0.254013	0.140091	0.290083
0.359089	0.0141907	-0.0130158	0.0192558
0.35932	0.0836029	0.0354462	0.0908068
0.359551	0.119583	0.0458069	0.128056
0.359782	-0.00120544	-0.00166321	0.00205411
0.360013	0.180847	0.02565	0.182657
0.360244	0.0862274	-0.0825806	0.119393
0.360475	0.0806274	-0.00711059	0.0809404
0.360706	0.0391235	-0.0342255	0.0519811
0.360937	0.321945	0.00802613	0.322045
0.361168	0.16037	-0.0761566	0.177534
0.361399	0.0175781	-0.0172577	0.0246337
0.36163	0.252274	-0.00187683	0.252281
0.361861	0.0600891	-0.0146942	0.0618597
0.362092	0.133881	-0.0814819	0.156727
0.362323	0.0664978	0.10466	0.123999
0.362554	0.137604	-0.0546265	0.14805
0.362785	0.0381165	0.00688171	0.0387327
0.363016	0.230301	0.045929	0.234836
0.363247	0.171188	-0.112625	0.204914
0.363478	0.132355	-0.0420685	0.13888
0.363709	0.168716	0.100006	0.196129
0.36394	0.0746765	0.024231	0.0785094
0.364171	0.0864105	0.02742	0.0906567
0.364402	0.0605011	0.147949	0.159842
0.364633	0.186188	-0.128357	0.226145
0.364864	0.223694	-0.0198975	0.224577
0.365095	0.159424	0.0467529	0.166138
0.365326	0.0723724	0.0446014	0.0850121
0.365557	0.061264	0.00357056	0.061368
0.365788	0.0888825	0.0175018	0.0905892
0.366019	0.139236	0.11348	0.179623
0.36625	0.189362	0.0724335	0.202742
0.366481	0.0969544	0.0549469	0.111442
0.366712	0.0365906	-0.0626526	0.0725549
0.366943	0.158951	0.0283051	0.161451
0.367174	0.156906	0.10527	0.188948
0.367405	0.133316	-0.037674	0.138537
0.367636	0.152695	0.0940705	0.179346
0.367867	0.0950165	-0.0602875	0.112529
0.368098	0.134445	-0.0122681	0.135004
0.368329	0.00846863	-0.0222015	0.0237619
0.36856	0.155945	0.0257874	0.158063
0.368791	0.228943	0.0473175	0.233782
0.369022	0.0181274	-0.0321503	0.0369086
0.369253	0.234619	-0.159454	0.283676
0.369484	0.0396881	0.0620422	0.0736504
0.369715	0.132217	-0.0262909	0.134806
0.369946	0.0940552	-0.0693817	0.116877
0.370177	0.123917	0.0736542	0.144154
0.370408	0.059845	0.00532531	0.0600814
0.370639	0.0978851	-0.0546723	0.112118
0.37087	0.0725403	-0.0596008	0.0938848
0.371101	0.0961304	-0.0104981	0.0967019
0.371332	0.153214	-0.0335083	0.156835
0.371563	0.105209	0.0271607	0.108659
0.371794	0.103058	0.00331116	0.103111
0.372025	-0.171631	-0.120255	0.209567
0.372256	0.134674	0.0170441	0.135748
0.372487	0.0216064	0.0871124	0.089752
0.372718	-0.00335693	0.08844	0.0885036
0.372949	0.0927735	0.00852967	0.0931647
0.37318	0.184631	-0.0712891	0.197916
0.373411	0.0031128	-0.0149231	0.0152443
0.373642	0.0101624	-0.137772	0.138146
0.373873	0.0631714	-0.00288391	0.0632372
0.374104	0.081131	-0.0232239	0.0843895
0.374335	0.212524	0.0279694	0.214357
0.374566	0.172638	0.0133667	0.173155
0.374797	0.0582123	-0.112366	0.126549
0.375028	0.102722	0.0879364	0.135221
0.375259	0.213532	-0.0518646	0.21974
0.37549	0.156433	-0.0203705	0.157754
0.375721	0.157959	-0.072403	0.173762
0.375952	0.0745392	0.0352783	0.0824661
0.376183	0.143967	-0.00686646	0.14413
0.376414	0.228226	-0.0818482	0.242458
0.376645	0.279373	0.0118713	0.279625
0.376876	0.20665	-0.108704	0.233497
0.377107	0.0814514	-0.0316773	0.0873944
0.377338	0.127792	-0.0782623	0.149853
0.377569	0.0772553	-0.0762024	0.108514
0.3778	0.12175	-0.085846	0.148972
0.378031	0.0679779	-0.0860748	0.109681
0.378262	0.0946808	0.147659	0.175407
0.378493	0.127197	0.0387268	0.132962
0.378724	0.0825653	-0.0346222	0.0895306
0.378955	0.209061	0.00540161	0.20913
0.379186	0.17366	0.00161743	0.173668
0.379417	-0.0067749	-0.0470734	0.0475584
0.379648	0.0588532	-0.019165	0.061895
0.379879	0.176788	0.0182343	0.177726
0.38011	0.0404968	0.107468	0.114845
0.380341	0.104523	-0.0209045	0.106593
0.380572	0.0306244	0.000854506	0.0306363
0.380803	0.0266571	0.0550385	0.0611542
0.381034	0.19516	-0.0461426	0.200541
0.381265	0.085434	0.0329895	0.091582
0.381496	0.172363	0.0501556	0.179512
0.381727	-0.0565338	-0.0535126	0.0778439
0.381958	0.0845642	0.0644837	0.106345
0.382189	0.185379	-0.0242615	0.18696
0.38242	0.117828	-0.120163	0.168293
0.382651	0.0626068	0.0278168	0.0685083
0.382882	0.0385132	0.0183258	0.0426509
0.383113	0.0676422	0.114227	0.132753
0.383344	0.221664	0.236191	0.323915
0.383575	0.109375	-0.00968933	0.109803
0.383806	0.183929	-0.013443	0.18442
0.384037	0.103134	-0.0329742	0.108277
0.384268	0.0622101	-0.0240784	0.0667073
0.384499	0.154053	-0.0227203	0.155719
0.38473	0.123779	0.21553	0.248545
0.384961	0.141083	0.0511322	0.150063
0.385192	0.0939941	0.0902863	0.130332
0.385423	0.123856	-0.0308228	0.127633
0.385654	-0.026413	0.092804	0.0964895
0.385885	0.0664215	0.0570984	0.0875902
0.386116	0.0635834	-0.109711	0.126804
0.386347	0.0782318	-0.0586395	0.0977692
0.386578	0.0534821	-0.122116	0.133314
0.386809	0.340195	-0.027298	0.341288
0.38704	0.19368	-0.0718079	0.206563
0.387271	0.0958862	0.0586243	0.112388
0.387502	0.0249329	-0.145065	0.147192
0.387733	0.151749	-0.020462	0.153122
0.387964	0.194168	0.0652771	0.204847
0.388195	0.12233	-0.0943909	0.154513
0.388426	0.103363	0.0614014	0.120225
0.388657	0.117828	-0.0877228	0.146897
0.388888	0.0213318	0.00886536	0.0231007
0.389119	0.13269	0.049057	0.141469
0.38935	-0.0173493	0.0761719	0.0781227
0.389581	0.125153	-0.0411224	0.131735
0.389812	0.00785828	-0.0754089	0.0758173
0.390043	-0.0548554	0.0240631	0.0599011
0.390274	0.0656586	-0.154465	0.16784
0.390505	0.0881958	-0.0478974	0.100363
0.390736	0.191086	0.055069	0.198863
0.390967	0.0382538	-0.052002	0.0645566
0.391198	0.221451	0.072815	0.233115
0.391429	0.126328	-0.128098	0.17991
0.39166	0.211914	0.0218506	0.213038
0.391891	0.149872	-0.023056	0.151635
0.392122	0.224365	-0.0142822	0.224819
0.392353	0.205734	0.0335693	0.208455
0.392584	0.222366	-0.0638886	0.231362
0.392815	0.0344849	-0.046875	0.0581934
0.393046	0.149429	-0.0491943	0.157319
0.393277	0.0247192	0.0529175	0.0584063
0.393508	0.0869293	-0.0634766	0.107638
0.393739	0.155304	0.0205231	0.156654
0.39397	0.183365	-0.0783539	0.199404
0.394201	0.105057	0.0776062	0.130613
0.394432	0.0190125	0.0862579	0.0883284
0.394663	0.117569	0.0255127	0.120305
0.394894	0.284012	0.0378723	0.286526
0.395125	0.17453	-0.0730133	0.189187
0.395356	0.118927	0.167252	0.205224
0.395587	0.167191	-0.0874939	0.1887
0.395818	0.0679169	0.0136414	0.0692733
